"submission_date","created_at","date_diff"
"04/25/2020","03/07/2022 05:06:57 PM",-681
"04/25/2020","03/07/2022 05:06:39 PM",-681
"04/25/2020","03/07/2022 05:06:55 PM",-681
"04/25/2020","03/07/2022 05:06:35 PM",-681
"04/25/2020","03/07/2022 05:06:38 PM",-681
"04/25/2020","03/07/2022 05:06:37 PM",-681
"04/25/2020","03/07/2022 05:06:15 PM",-681
"04/25/2020","03/07/2022 05:06:43 PM",-681
"04/27/2020","03/09/2022 01:35:59 PM",-681
"04/25/2020","03/07/2022 05:06:31 PM",-681
"04/29/2020","03/11/2022 01:59:22 PM",-681
"04/26/2020","03/08/2022 01:49:25 PM",-681
"04/26/2020","03/07/2022 05:06:43 PM",-680
"04/26/2020","03/07/2022 05:06:31 PM",-680
"04/26/2020","03/07/2022 05:06:15 PM",-680
"04/30/2020","03/11/2022 01:59:22 PM",-680
"04/26/2020","03/07/2022 05:06:39 PM",-680
"04/26/2020","03/07/2022 05:06:43 PM",-680
"04/26/2020","03/07/2022 05:06:57 PM",-680
"04/26/2020","03/07/2022 05:06:55 PM",-680
"04/26/2020","03/07/2022 05:06:24 PM",-680
"04/26/2020","03/07/2022 05:06:25 PM",-680
"04/27/2020","03/08/2022 01:33:52 PM",-680
"04/26/2020","03/07/2022 05:06:38 PM",-680
"04/26/2020","03/07/2022 05:06:35 PM",-680
"04/26/2020","03/07/2022 05:06:58 PM",-680
"04/26/2020","03/07/2022 05:06:37 PM",-680
"04/27/2020","03/08/2022 01:49:25 PM",-680
"04/27/2020","03/07/2022 05:06:31 PM",-679
"04/27/2020","03/07/2022 05:06:35 PM",-679
"04/27/2020","03/07/2022 05:06:55 PM",-679
"04/27/2020","03/07/2022 05:06:39 PM",-679
"04/27/2020","03/07/2022 05:06:57 PM",-679
"04/27/2020","03/07/2022 05:06:25 PM",-679
"04/27/2020","03/07/2022 05:06:24 PM",-679
"04/27/2020","03/07/2022 05:06:43 PM",-679
"04/27/2020","03/07/2022 05:06:43 PM",-679
"04/23/2020","03/03/2022 02:33:50 PM",-679
"04/27/2020","03/07/2022 05:06:37 PM",-679
"04/27/2020","03/07/2022 05:06:58 PM",-679
"04/27/2020","03/07/2022 05:06:15 PM",-679
"04/27/2020","03/07/2022 05:06:38 PM",-679
"05/01/2020","03/11/2022 01:59:22 PM",-679
"04/24/2020","03/03/2022 02:33:50 PM",-678
"05/02/2020","03/11/2022 01:59:22 PM",-678
"04/23/2020","03/02/2022 02:43:55 PM",-678
"04/25/2020","03/03/2022 02:33:50 PM",-677
"04/24/2020","03/02/2022 02:43:55 PM",-677
"05/03/2020","03/11/2022 01:59:22 PM",-677
"04/25/2020","03/02/2022 02:43:55 PM",-676
"05/04/2020","03/11/2022 01:59:22 PM",-676
"04/26/2020","03/03/2022 02:33:50 PM",-676
"04/27/2020","03/03/2022 02:33:50 PM",-675
"04/26/2020","03/02/2022 02:43:55 PM",-675
"05/05/2020","03/11/2022 01:59:22 PM",-675
"04/27/2020","03/02/2022 02:43:55 PM",-674
"05/06/2020","03/11/2022 01:59:22 PM",-674
"05/07/2020","03/11/2022 01:59:22 PM",-673
"05/08/2020","03/11/2022 01:59:22 PM",-672
"05/09/2020","03/11/2022 01:59:22 PM",-671
"05/10/2020","03/11/2022 01:59:22 PM",-670
"05/11/2020","03/11/2022 01:59:22 PM",-669
"05/12/2020","03/11/2022 01:59:22 PM",-668
"05/13/2020","03/11/2022 01:59:22 PM",-667
"05/14/2020","03/11/2022 01:59:22 PM",-666
"05/15/2020","03/11/2022 01:59:22 PM",-665
"05/16/2020","03/11/2022 01:59:22 PM",-664
"04/23/2020","02/15/2022 03:29:40 PM",-663
"05/17/2020","03/11/2022 01:59:22 PM",-663
"04/24/2020","02/15/2022 03:29:40 PM",-662
"05/18/2020","03/11/2022 01:59:22 PM",-662
"04/25/2020","02/15/2022 03:29:40 PM",-661
"05/19/2020","03/11/2022 01:59:22 PM",-661
"05/20/2020","03/11/2022 01:59:22 PM",-660
"04/26/2020","02/15/2022 03:29:40 PM",-660
"05/21/2020","03/11/2022 01:59:22 PM",-659
"04/27/2020","02/15/2022 03:29:40 PM",-659
"05/22/2020","03/11/2022 01:59:22 PM",-658
"05/23/2020","03/11/2022 01:59:22 PM",-657
"05/24/2020","03/11/2022 01:59:22 PM",-656
"05/25/2020","03/11/2022 01:59:22 PM",-655
"05/26/2020","03/11/2022 01:59:22 PM",-654
"05/27/2020","03/11/2022 01:59:22 PM",-653
"05/28/2020","03/11/2022 01:59:22 PM",-652
"05/29/2020","03/11/2022 01:59:22 PM",-651
"05/30/2020","03/11/2022 01:59:22 PM",-650
"05/31/2020","03/11/2022 01:59:22 PM",-649
"06/01/2020","03/11/2022 01:59:22 PM",-648
"06/02/2020","03/11/2022 01:59:22 PM",-647
"06/03/2020","03/11/2022 01:59:22 PM",-646
"06/04/2020","03/11/2022 01:59:22 PM",-645
"06/05/2020","03/11/2022 01:59:22 PM",-644
"06/06/2020","03/11/2022 01:59:22 PM",-643
"06/07/2020","03/11/2022 01:59:22 PM",-642
"06/08/2020","03/11/2022 01:59:22 PM",-641
"06/09/2020","03/11/2022 01:59:22 PM",-640
"06/10/2020","03/11/2022 01:59:22 PM",-639
"06/11/2020","03/11/2022 01:59:22 PM",-638
"06/12/2020","03/11/2022 01:59:22 PM",-637
"06/13/2020","03/11/2022 01:59:22 PM",-636
"06/14/2020","03/11/2022 01:59:22 PM",-635
"06/15/2020","03/11/2022 01:59:22 PM",-634
"06/16/2020","03/11/2022 01:59:22 PM",-633
"06/17/2020","03/11/2022 01:59:22 PM",-632
"04/23/2020","01/14/2022 02:11:46 PM",-631
"06/18/2020","03/11/2022 01:59:22 PM",-631
"04/24/2020","01/14/2022 02:11:46 PM",-630
"06/19/2020","03/11/2022 01:59:22 PM",-630
"04/25/2020","01/14/2022 02:11:46 PM",-629
"06/20/2020","03/11/2022 01:59:22 PM",-629
"04/26/2020","01/14/2022 02:11:46 PM",-628
"06/21/2020","03/11/2022 01:59:22 PM",-628
"04/27/2020","01/14/2022 02:11:46 PM",-627
"06/22/2020","03/11/2022 01:59:22 PM",-627
"06/23/2020","03/11/2022 01:59:22 PM",-626
"06/24/2020","03/11/2022 01:59:22 PM",-625
"06/25/2020","03/11/2022 01:59:22 PM",-624
"06/26/2020","03/11/2022 01:59:22 PM",-623
"06/27/2020","03/11/2022 01:59:22 PM",-622
"06/28/2020","03/11/2022 01:59:22 PM",-621
"06/29/2020","03/11/2022 01:59:22 PM",-620
"06/30/2020","03/11/2022 01:59:22 PM",-619
"07/01/2020","03/11/2022 01:59:22 PM",-618
"07/02/2020","03/11/2022 01:59:22 PM",-617
"07/03/2020","03/11/2022 01:59:22 PM",-616
"07/04/2020","03/11/2022 01:59:22 PM",-615
"07/05/2020","03/11/2022 01:59:22 PM",-614
"07/06/2020","03/11/2022 01:59:22 PM",-613
"07/07/2020","03/11/2022 01:59:22 PM",-612
"07/08/2020","03/11/2022 01:59:22 PM",-611
"07/09/2020","03/11/2022 01:59:22 PM",-610
"07/10/2020","03/11/2022 01:59:22 PM",-609
"07/11/2020","03/11/2022 01:59:22 PM",-608
"07/12/2020","03/11/2022 01:59:22 PM",-607
"07/13/2020","03/11/2022 01:59:22 PM",-606
"07/14/2020","03/11/2022 01:59:22 PM",-605
"07/15/2020","03/11/2022 01:59:22 PM",-604
"07/16/2020","03/11/2022 01:59:22 PM",-603
"07/17/2020","03/11/2022 01:59:22 PM",-602
"07/18/2020","03/11/2022 01:59:22 PM",-601
"07/19/2020","03/11/2022 01:59:22 PM",-600
"04/23/2020","12/13/2021 03:20:33 PM",-599
"07/20/2020","03/11/2022 01:59:22 PM",-599
"07/21/2020","03/11/2022 01:59:22 PM",-598
"04/24/2020","12/13/2021 03:20:33 PM",-598
"07/22/2020","03/11/2022 01:59:22 PM",-597
"04/25/2020","12/13/2021 03:20:33 PM",-597
"04/26/2020","12/13/2021 03:20:33 PM",-596
"07/23/2020","03/11/2022 01:59:22 PM",-596
"04/27/2020","12/13/2021 03:20:33 PM",-595
"07/24/2020","03/11/2022 01:59:22 PM",-595
"07/25/2020","03/11/2022 01:59:22 PM",-594
"07/26/2020","03/11/2022 01:59:22 PM",-593
"07/27/2020","03/11/2022 01:59:22 PM",-592
"07/28/2020","03/11/2022 01:59:22 PM",-591
"07/29/2020","03/11/2022 01:59:22 PM",-590
"07/30/2020","03/11/2022 01:59:22 PM",-589
"07/31/2020","03/11/2022 01:59:22 PM",-588
"08/01/2020","03/11/2022 01:59:22 PM",-587
"08/02/2020","03/11/2022 01:59:22 PM",-586
"08/03/2020","03/11/2022 01:59:22 PM",-585
"08/04/2020","03/11/2022 01:59:22 PM",-584
"08/05/2020","03/11/2022 01:59:22 PM",-583
"08/06/2020","03/11/2022 01:59:22 PM",-582
"08/07/2020","03/11/2022 01:59:22 PM",-581
"08/08/2020","03/11/2022 01:59:22 PM",-580
"08/09/2020","03/11/2022 01:59:22 PM",-579
"08/10/2020","03/11/2022 01:59:22 PM",-578
"08/11/2020","03/11/2022 01:59:22 PM",-577
"08/12/2020","03/11/2022 01:59:22 PM",-576
"08/13/2020","03/11/2022 01:59:22 PM",-575
"08/14/2020","03/11/2022 01:59:22 PM",-574
"04/23/2020","11/18/2021 03:41:51 PM",-574
"04/24/2020","11/18/2021 03:41:51 PM",-573
"08/15/2020","03/11/2022 01:59:22 PM",-573
"04/25/2020","11/18/2021 03:41:51 PM",-572
"08/16/2020","03/11/2022 01:59:22 PM",-572
"08/17/2020","03/11/2022 01:59:22 PM",-571
"04/26/2020","11/18/2021 03:41:51 PM",-571
"08/18/2020","03/11/2022 01:59:22 PM",-570
"04/27/2020","11/18/2021 03:41:51 PM",-570
"08/19/2020","03/11/2022 01:59:22 PM",-569
"08/20/2020","03/11/2022 01:59:22 PM",-568
"08/21/2020","03/11/2022 01:59:22 PM",-567
"08/22/2020","03/11/2022 01:59:22 PM",-566
"08/23/2020","03/11/2022 01:59:22 PM",-565
"08/24/2020","03/11/2022 01:59:22 PM",-564
"08/25/2020","03/11/2022 01:59:22 PM",-563
"08/26/2020","03/11/2022 01:59:22 PM",-562
"08/27/2020","03/11/2022 01:59:22 PM",-561
"08/28/2020","03/11/2022 01:59:22 PM",-560
"08/29/2020","03/11/2022 01:59:22 PM",-559
"08/30/2020","03/11/2022 01:59:22 PM",-558
"08/31/2020","03/11/2022 01:59:22 PM",-557
"09/01/2020","03/11/2022 01:59:22 PM",-556
"09/02/2020","03/11/2022 01:59:22 PM",-555
"09/03/2020","03/11/2022 01:59:22 PM",-554
"09/04/2020","03/11/2022 01:59:22 PM",-553
"09/05/2020","03/11/2022 01:59:22 PM",-552
"09/06/2020","03/11/2022 01:59:22 PM",-551
